Case #1: correct=False, output=None ; accuracy=0.000 (0/1)
Case #2: correct=False, output=None ; accuracy=0.000 (0/2)
Case #3: correct=False, output=None ; accuracy=0.000 (0/3)
Case #4: correct=True, output='(4 + (3 + 4)) + 13 = 24' ; accuracy=0.250 (1/4)
Case #5: correct=False, output=None ; accuracy=0.200 (1/5)
Case #6: correct=False, output='(2 * (1 + 11)) * (13 - 11) = 24' ; accuracy=0.167 (1/6)
Case #7: correct=False, output=None ; accuracy=0.143 (1/7)
Case #8: correct=True, output='(9 - (2 + 3)) * 6 = 24' ; accuracy=0.250 (2/8)
Case #9: correct=True, output='(1 * 9) + (3 * 5) = 24' ; accuracy=0.333 (3/9)
Case #10: correct=True, output='(7 - 3) * 3 + 12 = 24' ; accuracy=0.400 (4/10)
Case #11: correct=True, output='(4 * 9) - (5 + 7) = 24' ; accuracy=0.455 (5/11)
Case #12: correct=True, output='((1 + 2) + 8) + 13 = 24' ; accuracy=0.500 (6/12)
Case #13: correct=True, output='(4 * 9) - (6 + 6) = 24' ; accuracy=0.538 (7/13)
Case #14: correct=False, output=None ; accuracy=0.500 (7/14)
Case #15: correct=False, output=None ; accuracy=0.467 (7/15)
Case #16: correct=True, output='((3 + 4) + 6) + 11 = 24' ; accuracy=0.500 (8/16)
Case #17: correct=True, output='8 * (9 - (2 + 4)) = 24' ; accuracy=0.529 (9/17)
Case #18: correct=False, output=None ; accuracy=0.500 (9/18)
Case #19: correct=True, output='(2 * 7) + (12 - 2) = 24' ; accuracy=0.526 (10/19)
Case #20: correct=False, output=None ; accuracy=0.500 (10/20)
Case #21: correct=True, output='(1 + 5) * (13 - 9) = 24' ; accuracy=0.524 (11/21)
Case #22: correct=False, output=None ; accuracy=0.500 (11/22)
Case #23: correct=False, output='5 * 5 - (8 * 10 / 25)  = 21.8' ; accuracy=0.478 (11/23)
Case #24: correct=True, output='((2 + 4) + 6) + 12 = 24' ; accuracy=0.500 (12/24)
Case #25: correct=True, output='6 * (7 + 8 - 11) = 24' ; accuracy=0.520 (13/25)
Case #26: correct=True, output='((9 + 9) + (13 - 7)) = 24' ; accuracy=0.538 (14/26)
Case #27: correct=True, output='(9 - 3 + 6) + 12 = 24' ; accuracy=0.556 (15/27)
Case #28: correct=False, output=None ; accuracy=0.536 (15/28)
Case #29: correct=True, output='((13 - 9) * 7) - 4 = 24' ; accuracy=0.552 (16/29)
Case #30: correct=False, output=None ; accuracy=0.533 (16/30)
Case #31: correct=False, output=None ; accuracy=0.516 (16/31)
Case #32: correct=False, output=None ; accuracy=0.500 (16/32)
Case #33: correct=True, output='(6 * 7) - (6 + 12) = 24' ; accuracy=0.515 (17/33)
Case #34: correct=True, output='(11 - 9) * 9 + 6 = 24' ; accuracy=0.529 (18/34)
Case #35: correct=True, output='(5 + 8 - 11) * 12 = 24' ; accuracy=0.543 (19/35)
Case #36: correct=True, output='((5 * 6) / 10) * 8  = 24' ; accuracy=0.556 (20/36)
Case #37: correct=False, output=None ; accuracy=0.541 (20/37)
Case #38: correct=True, output='(8 * (2 + 2)) - 8 = 24' ; accuracy=0.553 (21/38)
Case #39: correct=False, output=None ; accuracy=0.538 (21/39)
Case #40: correct=True, output='(12 - 2) + (6 + 8) = 24' ; accuracy=0.550 (22/40)
Case #41: correct=False, output=None ; accuracy=0.537 (22/41)
Case #42: correct=True, output='(4 - 10 / 5) * 12 = 24' ; accuracy=0.548 (23/42)
Case #43: correct=True, output='(2 * 7 - 1) + 11 = 24' ; accuracy=0.558 (24/43)
Case #44: correct=True, output='(4 + 5 - 6) * 8 = 24' ; accuracy=0.568 (25/44)
