Case #1: correct=False, output=None ; accuracy=0.000 (0/1)
Case #2: correct=False, output=None ; accuracy=0.000 (0/2)
Case #3: correct=False, output=None ; accuracy=0.000 (0/3)
Case #4: correct=True, output='4 * (13 - (3 + 4))  = 24' ; accuracy=0.250 (1/4)
Case #5: correct=False, output=None ; accuracy=0.200 (1/5)
Case #6: correct=True, output='(13 - 11) * (1 + 11)  = 24' ; accuracy=0.333 (2/6)
Case #7: correct=False, output=None ; accuracy=0.286 (2/7)
Case #8: correct=True, output='(9 - (2 + 3)) * 6  = 24' ; accuracy=0.375 (3/8)
Case #9: correct=True, output='(1 * 9) + (3 * 5)  = 24' ; accuracy=0.444 (4/9)
Case #10: correct=True, output='(3 * (7 - 3)) + 12  = 24' ; accuracy=0.500 (5/10)
Case #11: correct=False, output=None ; accuracy=0.455 (5/11)
Case #12: correct=True, output='(1 + 2 + 13) + 8  = 24' ; accuracy=0.500 (6/12)
Case #13: correct=False, output=None ; accuracy=0.462 (6/13)
Case #14: correct=False, output=None ; accuracy=0.429 (6/14)
Case #15: correct=False, output=None ; accuracy=0.400 (6/15)
Case #16: correct=False, output='(4 * (11 - 3) - 4)  = 28' ; accuracy=0.375 (6/16)
Case #17: correct=True, output='(9 - (2 + 4)) * 8  = 24' ; accuracy=0.412 (7/17)
Case #18: correct=False, output=None ; accuracy=0.389 (7/18)
Case #19: correct=True, output='(12 - 2) + (2 * 7)  = 24' ; accuracy=0.421 (8/19)
Case #20: correct=True, output='(6 - 3) + (3 * 7)  = 24' ; accuracy=0.450 (9/20)
Case #21: correct=False, output=None ; accuracy=0.429 (9/21)
Case #22: correct=True, output='(6 * 7 - 13) - 5  = 24' ; accuracy=0.455 (10/22)
Case #23: correct=False, output='(10 * 5) / 5 * 8  = 80.0' ; accuracy=0.435 (10/23)
Case #24: correct=True, output='(4 * 6) / 2 * 2  = 24' ; accuracy=0.458 (11/24)
Case #25: correct=True, output='6 * (8 - (11 - 7))  = 24' ; accuracy=0.480 (12/25)
Case #26: correct=True, output='(13 - 7) + 9 + 9  = 24' ; accuracy=0.500 (13/26)
Case #27: correct=False, output='(9 - 3) * 6 * (12 / 2)  = 216.0' ; accuracy=0.481 (13/27)
Case #28: correct=False, output=None ; accuracy=0.464 (13/28)
Case #29: correct=False, output=None ; accuracy=0.448 (13/29)
Case #30: correct=False, output='6 * (8 - (12 - 5))  = 6' ; accuracy=0.433 (13/30)
Case #31: correct=False, output=None ; accuracy=0.419 (13/31)
Case #32: correct=False, output='10 * ((10 / 2) * 5 - 1)  = 240.0' ; accuracy=0.406 (13/32)
Case #33: correct=True, output='(12 * 2) / 6 * 6  = 24' ; accuracy=0.424 (14/33)
Case #34: correct=False, output='(6 * (11 - 9)) * 2  = 24' ; accuracy=0.412 (14/34)
Case #35: correct=False, output='8 * (11 + (12 - 5))  = 144' ; accuracy=0.400 (14/35)
Case #36: correct=False, output='(10 * 6) / 5 * 8  = 96.0' ; accuracy=0.389 (14/36)
Case #37: correct=False, output='6 * (12 / (13 - 11))  = 36.0' ; accuracy=0.378 (14/37)
Case #38: correct=False, output='2 * 2 * (8 + 8)  = 64' ; accuracy=0.368 (14/38)
Case #39: correct=False, output='(13 - 7) * 2 * 2  = 24' ; accuracy=0.359 (14/39)
Case #40: correct=False, output=None ; accuracy=0.350 (14/40)
Case #41: correct=False, output=None ; accuracy=0.341 (14/41)
Case #42: correct=False, output=None ; accuracy=0.333 (14/42)
Case #43: correct=False, output=None ; accuracy=0.326 (14/43)
Case #44: correct=False, output='8 * (5 * (6 - 4))  = 80' ; accuracy=0.318 (14/44)
