Case #1: correct=False, output=None ; accuracy=0.000 (0/1)
Case #2: correct=True, output='((7 + 1) - 2) * 4 = 24' ; accuracy=0.500 (1/2)
Case #3: correct=True, output='(8 / 2) * (11 - 5) = 24' ; accuracy=0.667 (2/3)
Case #4: correct=True, output='((3 + 4) + 4) + 13 = 24' ; accuracy=0.750 (3/4)
Case #5: correct=False, output=None ; accuracy=0.600 (3/5)
Case #6: correct=False, output='11 * 1 + 13 = 24' ; accuracy=0.500 (3/6)
Case #7: correct=False, output='(8 * (1 + (11 + 10) - 19))  = 24' ; accuracy=0.429 (3/7)
Case #8: correct=True, output='(9 - 3 + 6) * 2 = 24' ; accuracy=0.500 (4/8)
Case #9: correct=False, output='9 * 3 = 27 (left: 1 5 27)' ; accuracy=0.444 (4/9)
Case #10: correct=False, output=None ; accuracy=0.400 (4/10)
Case #11: correct=True, output='((9 * 4) - (7 + 5)) = 24' ; accuracy=0.455 (5/11)
Case #12: correct=False, output=None ; accuracy=0.417 (5/12)
Case #13: correct=False, output='(6 + 6) * 4 - 12 = 24' ; accuracy=0.385 (5/13)
Case #14: correct=False, output=None ; accuracy=0.357 (5/14)
Case #15: correct=False, output='1 + (11 + (5 + 10))  = 27' ; accuracy=0.333 (5/15)
Case #16: correct=True, output='((3 + 4) + 6) + 11 = 24' ; accuracy=0.375 (6/16)
Case #17: correct=True, output='(9 - (2 + 4)) * 8 = 24' ; accuracy=0.412 (7/17)
Case #18: correct=False, output='13 - 5 = 8 (left: 1 4 8)  ' ; accuracy=0.389 (7/18)
Case #19: correct=False, output=None ; accuracy=0.368 (7/19)
Case #20: correct=False, output=None ; accuracy=0.350 (7/20)
Case #21: correct=True, output='(1 + 5) * (13 - 9) = 24' ; accuracy=0.381 (8/21)
Case #22: correct=True, output='(7 + 13) / 5 * 6 = 24' ; accuracy=0.409 (9/22)
Case #23: correct=False, output='(5 + 5 - 8) * 10 = 24' ; accuracy=0.391 (9/23)
Case #24: correct=False, output='(2 * 12) - (6 - 6) = 24' ; accuracy=0.375 (9/24)
Case #25: correct=True, output='(11 + 7) / 6 * 8 = 24' ; accuracy=0.400 (10/25)
Case #26: correct=True, output='((9 + 13) - 7) + 9 = 24' ; accuracy=0.423 (11/26)
Case #27: correct=False, output=None ; accuracy=0.407 (11/27)
Case #28: correct=False, output=None ; accuracy=0.393 (11/28)
Case #29: correct=False, output='((13 - 9) + 7) + 4 = 24' ; accuracy=0.379 (11/29)
Case #30: correct=False, output=None ; accuracy=0.367 (11/30)
Case #31: correct=True, output='((7 * 2) + (4 + 6)) = 24' ; accuracy=0.387 (12/31)
Case #32: correct=False, output='(2 + (10 * (10 / 5))) = 24' ; accuracy=0.375 (12/32)
Case #33: correct=False, output='6 * (7 - (12 - 6)) = 24' ; accuracy=0.364 (12/33)
Case #34: correct=False, output=None ; accuracy=0.353 (12/34)
Case #35: correct=True, output='(5 + 11) / 8 * 12 = 24' ; accuracy=0.371 (13/35)
Case #36: correct=True, output='(8 * 5 / 10) * 6 = 24' ; accuracy=0.389 (14/36)
Case #37: correct=False, output=None ; accuracy=0.378 (14/37)
Case #38: correct=False, output='(2 + 2) * (8 - 8 / 8) = 24' ; accuracy=0.368 (14/38)
Case #39: correct=False, output=None ; accuracy=0.359 (14/39)
Case #40: correct=False, output='(12 - 6) * (6 / 2)  = 18.0' ; accuracy=0.350 (14/40)
Case #41: correct=False, output='4 * (13 - (9 - 3)) = 24' ; accuracy=0.341 (14/41)
Case #42: correct=False, output=None ; accuracy=0.333 (14/42)
Case #43: correct=False, output=None ; accuracy=0.326 (14/43)
Case #44: correct=False, output='8 - 4 = 4 (left: 4 5 6)  ' ; accuracy=0.318 (14/44)
Case #45: correct=False, output='13 + 10  = 23' ; accuracy=0.311 (14/45)
Case #46: correct=False, output=None ; accuracy=0.304 (14/46)
Case #47: correct=True, output='(4 * (11 - 4 - 1)) = 24' ; accuracy=0.319 (15/47)
Case #48: correct=True, output='((9 + 3) + (2 + 10)) = 24' ; accuracy=0.333 (16/48)
Case #49: correct=False, output=None ; accuracy=0.327 (16/49)
Case #50: correct=False, output='(6 / 1) * (6 * 4 / 6) = 24' ; accuracy=0.320 (16/50)
Case #51: correct=False, output=None ; accuracy=0.314 (16/51)
Case #52: correct=True, output='(11 + 1) / 3 * 6 = 24' ; accuracy=0.327 (17/52)
Case #53: correct=False, output='(13 - 5) * (10 - 8) = 24' ; accuracy=0.321 (17/53)
Case #54: correct=False, output='(3 * (18 / 6)) * 2 = 24' ; accuracy=0.315 (17/54)
Case #55: correct=True, output='(12 / 6) * 7 + 10 = 24' ; accuracy=0.327 (18/55)
Case #56: correct=False, output='12 - 7 = 5 (left: 8 8 5)  ' ; accuracy=0.321 (18/56)
Case #57: correct=True, output='(8 - 6) * (3 * 4) = 24' ; accuracy=0.333 (19/57)
Case #58: correct=False, output=None ; accuracy=0.328 (19/58)
Case #59: correct=True, output='((2 + 3) + 6) + 13 = 24' ; accuracy=0.339 (20/59)
Case #60: correct=False, output='(5 * 2 + 2) * 12 / 12 = 24' ; accuracy=0.333 (20/60)
Case #61: correct=False, output=None ; accuracy=0.328 (20/61)
Case #62: correct=False, output='(12 * (10 - 8)) + 8 = 24' ; accuracy=0.323 (20/62)
Case #63: correct=True, output='(3 + (8 + 13)) / 1 = 24' ; accuracy=0.333 (21/63)
Case #64: correct=True, output='(4 + 4) * (10 - 7) = 24' ; accuracy=0.344 (22/64)
Case #65: correct=False, output=None ; accuracy=0.338 (22/65)
Case #66: correct=False, output=None ; accuracy=0.333 (22/66)
Case #67: correct=True, output='(4 + 11) + (3 * 3) = 24' ; accuracy=0.343 (23/67)
Case #68: correct=True, output='((7 + 7) + (5 * 2)) = 24' ; accuracy=0.353 (24/68)
Case #69: correct=False, output=None ; accuracy=0.348 (24/69)
Case #70: correct=True, output='((7 + 3) * 2) + 4 = 24' ; accuracy=0.357 (25/70)
Case #71: correct=False, output='(8 + 4) + (4 + 8) = 24' ; accuracy=0.352 (25/71)
Case #72: correct=False, output='(10 + 2) * (6 * 1) = 24' ; accuracy=0.347 (25/72)
Case #73: correct=False, output='((1 + 5) * (12 / (12 / 6))) = 24' ; accuracy=0.342 (25/73)
Case #74: correct=False, output='(6 * 6) - (8 - 5) = 24' ; accuracy=0.338 (25/74)
Case #75: correct=True, output='((7 + 7) - 11) * 8 = 24' ; accuracy=0.347 (26/75)
Case #76: correct=True, output='((10 * 3) - 7) + 1 = 24' ; accuracy=0.355 (27/76)
Case #77: correct=True, output='((9 + 3) * 3) - 12 = 24' ; accuracy=0.364 (28/77)
Case #78: correct=False, output=None ; accuracy=0.359 (28/78)
Case #79: correct=True, output='(13 - 10) * (12 - 4) = 24' ; accuracy=0.367 (29/79)
Case #80: correct=False, output='3 * (10 - 2)  = 24' ; accuracy=0.362 (29/80)
Case #81: correct=True, output='(6 + 6) + (4 * 3) = 24' ; accuracy=0.370 (30/81)
Case #82: correct=True, output='(8 * 5) - 8 - 8 = 24' ; accuracy=0.378 (31/82)
Case #83: correct=False, output='(6 * (12 - 8)) + (8 - 4) = 24' ; accuracy=0.373 (31/83)
Case #84: correct=False, output=None ; accuracy=0.369 (31/84)
Case #85: correct=True, output='(11 + 7 - 6) * 2 = 24' ; accuracy=0.376 (32/85)
